ts_utc,side,price,qty_base,fee_quote,reason
2026-02-09T00:00:00+00:00,buy,2086.9358273374637,0.16678896770530569,0.3480778723088337,FILL
2026-02-09T01:15:00+00:00,sell,2101.02112070891,0.16678896770530569,0.35042714385008356,FILL
2026-02-09T01:30:00+00:00,buy,2058.7578449623716,0.022542842237650632,0.046410253304512344,FILL
2026-02-09T01:30:00+00:00,buy,2072.845603544551,0.14704994878261796,0.30481183983550103,FILL
2026-02-09T01:30:00+00:00,buy,2086.9333621267306,0.16678896770530569,0.3480774611388803,FILL
2026-02-09T01:45:00+00:00,sell,2064.7629491632433,0.022542842237650632,0.046545625421133247,FILL
2026-02-09T02:30:00+00:00,sell,2080.314064435802,0.14704994878261796,0.3059100766270445,FILL
2026-02-09T03:30:00+00:00,sell,2095.8423055298713,0.16678896770530569,0.3495633746124351,FILL
2026-02-09T06:15:00+00:00,buy,2080.804501471172,0.16678896770530569,0.34705523479693,FILL
2026-02-09T07:30:00+00:00,buy,2065.8129634287848,0.14704994878261796,0.303777690466671,FILL
2026-02-09T08:30:00+00:00,buy,2044.7870633276561,0.022542842237650632,0.046095312178184286,FILL
2026-02-09T08:45:00+00:00,sell,2044.265472369163,0.022542842237650632,0.04608355403549439,FILL
